Numer RSPO,Nazwa,Kod terytorialny województwo,Kod terytorialny powiat,Kod terytorialny gmina,Kod terytorialny miejscowość,Kod terytorialny ulica,Województwo,Powiat,Gmina,Ulica,Numer budynku,Numer lokalu,Adres full,Kod pocztowy,Telefon,E-mail,Strona www,Publiczność status,Kategoria uczniów,Imię i nazwisko dyrektora,Liczba uczniów
66106,PRZEDSZKOLE BAJKA W MIĘDZYBORZU,2,214,214054,937037,6075,DOLNOŚLĄSKIE,oleśnicki,Międzybórz,ul. Graniczna,2,,oleśnicki ul. Graniczna 2 ,56-513,509471620,bajka@przedszkolemiedzyborz.pl,www.przedszkolemiedzyborz.pl,publiczna,Dzieci lub młodzież,MONIKA SZYMCZYK,155
127803,PRZEDSZKOLE BAJKOLANDIA 2,12,1206,1206172,344343,28327,MAŁOPOLSKIE,krakowski,Zielonki,ul. B4,44a,,krakowski ul. B4 44a ,32-086,509933455,leszek.sepek@gmail.com,,niepubliczna,Dzieci lub młodzież,LESZEK SĘPEK,68
12298,PRZEDSZKOLE BAJKOWA AKADEMIA,22,2261,2261011,933016,12037,POMORSKIE,Gdańsk,Gdańsk,ul. Jacka Malczewskiego,139,,Gdańsk ul. Jacka Malczewskiego 139 ,80-114,583414441,bajkowaakademia@iwrd.pl,www.bajkowaakademia.iwrd.pl,niepubliczna,Dzieci lub młodzież,EWELINA KANARKOWSKA,24
52975,PRZEDSZKOLE BAJKOWA DOLINKA W PSZENNIE,2,219,219072,856244,24806,DOLNOŚLĄSKIE,świdnicki,Świdnica,ul. Wrocławska,15a,,świdnicki ul. Wrocławska 15a ,58-125,748519028,dyrektor@przedszkolepszenno.pl,www.przedszkolepszenno.szkolnastrona.pl,publiczna,Dzieci lub młodzież,Ewa Wasilenia,169
44282,PRZEDSZKOLE BAJKOWA KRAINA W GNIEWKOWIE,4,407,407034,928937,13246,KUJAWSKO-POMORSKIE,inowrocławski,Gniewkowo,ul. Stanisława Moniuszki,2,,inowrocławski ul. Stanisława Moniuszki 2 ,88-140,523558641,przedszkole.gniewkowo@onet.eu,www.samorzadoweprzedszkole.gniewkowo.szkolnastrona.pl,publiczna,Dzieci lub młodzież,MAGDALENA BARANOWSKA,261
196265,PRZEDSZKOLE BAJKOWY DOM 2,28,2862,2862011,964465,35421,WARMIŃSKO-MAZURSKIE,Olsztyn,Olsztyn,ul. Kardynała Stefana Wyszyńskiego,22,,Olsztyn ul. Kardynała Stefana Wyszyńskiego 22 ,10-456,504389233,przedszkole@bajkowydom.olsztyn.pl,www.bajkowydom.olsztyn.pl,niepubliczna,Dzieci lub młodzież,KAROLINA LICHOTA,153
92207,PRZEDSZKOLE BAJKOWY ŚWIAT,18,1861,1861011,952410,7029,PODKARPACKIE,Krosno,Krosno,ul. Jagiellońska,3,,Krosno ul. Jagiellońska 3 ,38-400,693929898,przedszkolebs@gmail.com,,niepubliczna,Dzieci lub młodzież,MONIKA CZECH,33
19399,PRZEDSZKOLE BAJKOWY ŚWIAT W ORZECHOWIE,30,3030,3030025,589346,12959,WIELKOPOLSKIE,wrzesiński,Miłosław,ul. Miłosławska,48,,wrzesiński ul. Miłosławska 48 ,62-322,614371253,bajkowyswiat1@wp.pl,,publiczna,Dzieci lub młodzież,BEATA MIETLICKA,76
269485,PRZEDSZKOLE BAŚNIOWA KRAINA MIKOŁAJ JURGIEL,32,3217,3217011,967245,39357,ZACHODNIOPOMORSKIE,wałecki,Wałcz,ul. Generała Władysława Andersa,11,,wałecki ul. Generała Władysława Andersa 11 ,78-600,722626884,mikolajjurgiel@gmail.com,,niepubliczna,Dzieci lub młodzież,MIKOŁAJ JURGIEL,14
7823,PRZEDSZKOLE BAŚNIOWA KRAINA W DOBIEGNIEWIE,8,806,806014,935334,12734,LUBUSKIE,strzelecko-drezdenecki,Dobiegniew,ul. Mickiewicza,9,,strzelecko-drezdenecki ul. Mickiewicza 9 ,66-520,957611080,przedszkole_dobiegniew@wp.pl,,publiczna,Dzieci lub młodzież,AGNIESZKA ŻENDEŁEK,118
53723,PRZEDSZKOLE BAŚNIOWY ŚWIAT,30,3064,3064049,969770,20618,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,ul. Sowice,29,,Poznań ul. Sowice 29 ,61-306,618798763,majka@basniowyswiat.pl,,niepubliczna,Dzieci lub młodzież,Mieczysława Skorlińska,12
478683,PRZEDSZKOLE BIAŁA SOWA,30,3064,3064049,969770,20950,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,ul. Starołęcka,42,,Poznań ul. Starołęcka 42 ,61-360,882044891,zlobek.bialasowa@gmail.com,,niepubliczna,Dzieci lub młodzież,BEATA GÓRECKA,37
61865,PRZEDSZKOLE BIEDRONECZKI,14,1417,1417011,920404,16863,MAZOWIECKIE,otwocki,Józefów,ul. Podstołeczna,6,,otwocki ul. Podstołeczna 6 ,05-420,668676797,info@przedszkolebiedroneczki.pl,www.przedszkolebiedroneczki.pl,niepubliczna,Dzieci lub młodzież,ANNA SKARUZ,32
479212,PRZEDSZKOLE BILINGWINO,30,3064,3064049,969770,16973,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,ul. Polanka,16,,Poznań ul. Polanka 16 ,61-131,694659554,przedszkole@bilingwo.org,,niepubliczna,Dzieci lub młodzież,MARIIA KOTOK,17
24894,PRZEDSZKOLE BŁ. EDMUNDA BOJANOWSKIEGO PROWADZONE PRZEZ ZGROMADZENIE SIÓSTR SŁUŻEBNICZEK NAJŚWIĘTSZEJ MARYI PANNY NIEPOKALANIE POCZĘTEJ W DOMARADZU,18,1802,1802022,348507,,PODKARPACKIE,brzozowski,Domaradz,,328,,brzozowski  328 ,36-230,134347089,sisterjola@interia.pl,,niepubliczna,Dzieci lub młodzież,JOLANTA BARTMAN,113
264134,PRZEDSZKOLE BLISKO DZIECKA I NATURY,24,2479,2479011,945746,8206,ŚLĄSKIE,Żory,Żory,ul. Katowicka,24,,Żory ul. Katowicka 24 ,44-240,694205300,biuro@bliskodzieckainatury.pl,www.bliskodzieckainatury.pl,niepubliczna,Dzieci lub młodzież,Aleksandra Wiechuła,55
121559,PRZEDSZKOLE BŁOGOSŁAWIONYCH MARII I ALOJZEGO BELTRAME QUATTROCCHI,10,1061,1061029,957666,14834,ŁÓDZKIE,Łódź,Łódź-Bałuty,ul. Ogrodowa,22,,Łódź ul. Ogrodowa 22 ,91-065,513038959,przedszkole.ogrodowa@wp.pl,,niepubliczna,Dzieci lub młodzież,ADAM BAJER VEL BOJER,32
126306,PRZEDSZKOLE BRITISH INTERNATIONAL SCHOOL OF THE UNIVERSITY OF ŁÓDŹ,10,1061,1061069,958453,4863,ŁÓDZKIE,Łódź,Łódź-Widzew,ul. Fabryczna,4,,Łódź ul. Fabryczna 4 ,90-325,795139079,interschool@interschool.uni.lodz.pl,,niepubliczna,Dzieci lub młodzież,,30
15745,PRZEDSZKOLE BUKOWIEC,4,414,414012,80559,608,KUJAWSKO-POMORSKIE,świecki,Bukowiec,ul. Bajkowa,1,,świecki ul. Bajkowa 1 ,86-122,523322560,przedszkolebukowiec@bukowiec.pl,,publiczna,Dzieci lub młodzież,MONIKA JANICKA,94
269180,PRZEDSZKOLE CASA DEI BAMBINI,26,2661,2661011,945930,39077,ŚWIĘTOKRZYSKIE,Kielce,Kielce,ul. Księdza Piotra Ściegiennego,30a,,Kielce ul. Księdza Piotra Ściegiennego 30a ,25-114,789296169,montessorikielcesekretariat@gmail.com,www.montessorikielce.pl,niepubliczna,Dzieci lub młodzież,KATARZYNA HORDZIEJEWICZ,35
273419,PRZEDSZKOLE CASA DEI BAMBINI CENTRUM,26,2661,2661011,945930,25634,ŚWIĘTOKRZYSKIE,Kielce,Kielce,ul. Zapomniana,3,,Kielce ul. Zapomniana 3 ,25-019,789296169,montessorikielcesekretariat@gmail.com,www.montessorkikielce.pl,niepubliczna,Dzieci lub młodzież,KATARZYNA HORDZIEJEWICZ,52
264506,PRZEDSZKOLE CENTRUM EDUKACJI MONTESSORI W BYDGOSZCZY,4,461,461011,928363,16319,KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,ul. Maksymiliana Piotrowskiego,12-14,,Bydgoszcz ul. Maksymiliana Piotrowskiego 46370 ,85-098,502282312,przedszkole.swiat.montessori@gmail.com,www.montessori.bydgoszcz.pl,niepubliczna,Dzieci lub młodzież,MARIANNA REISKA,48
478819,PRZEDSZKOLE CHABEREK,2,223,223052,875655,7335,DOLNOŚLĄSKIE,wrocławski,Kobierzyce,ul. Jasna,1,2,wrocławski ul. Jasna 1 2,52-200,793955977,sekretariat@chaberek.pl,www.chaberek.pl,niepubliczna,Dzieci lub młodzież,ALEKSANDRA HYBEL,22
22535,PRZEDSZKOLE CHATKA PUCHATKA W STARYM KUROWIE,8,806,806032,187406,10898,LUBUSKIE,strzelecko-drezdenecki,Stare Kurowo,ul. Leśna,2a,2,strzelecko-drezdenecki ul. Leśna 2a 2,66-540,957615044,dyrekcja@chatkapuchatkask.pl,przedszkolestarekurowo.szkolnastrona.pl,publiczna,Dzieci lub młodzież,MONIKA BRUNCKER,122
479449,PRZEDSZKOLE COGITO,24,2403,2403114,925258,24885,ŚLĄSKIE,cieszyński,Strumień,ul. Wspólna,2A,,cieszyński ul. Wspólna 2A ,43-246,693352379,k.halska1@gmail.com,www.centrumcogito.pl,niepubliczna,Dzieci lub młodzież,KATARZYNA HALSKA,14
132558,PRZEDSZKOLE CYTRYNA,30,3064,3064029,969416,20254,WIELKOPOLSKIE,Poznań,Poznań-Grunwald,ul. Słoneczna,19,,Poznań ul. Słoneczna 19 ,60-286,795663061,biuro@przedszkolecytryna.com,,niepubliczna,Dzieci lub młodzież,EWELINA ŚWIDEREK,33
11762,PRZEDSZKOLE CZARODZIEJSKI ZAMEK,30,3021,3021052,582870,22512,WIELKOPOLSKIE,poznański,Dopiewo,ul. Świerszcza,1,,poznański ul. Świerszcza 1 ,61-185,605880330,skorzewo@przedszkole-zamek.pl,przedszkole-zamek.pl,niepubliczna,Dzieci lub młodzież,ANDRZEJ NAMYSŁ,16
271351,PRZEDSZKOLE CZTERY PORY ROKU,30,3021,3021132,594117,22576,WIELKOPOLSKIE,poznański,Rokietnica,ul. Świt,2,,poznański ul. Świt 2 ,62-090,618145088,przedszkole@czteryporyroku.edu.pl,www.czteryporyroku.edu.pl,publiczna,Dzieci lub młodzież,JUSTYNA KONIECZNA,82
130983,PRZEDSZKOLE DA VINCI,30,3064,3064039,969586,5732,WIELKOPOLSKIE,Poznań,Poznań-Jeżyce,ul. Golęcińska,9,,Poznań ul. Golęcińska 9 ,60-626,618445541,sekretariat@davinciszkola.pl,,niepubliczna,Dzieci lub młodzież,SZYMON GOGOLEWSKI,20
120011,PRZEDSZKOLE DLA DZIECI NIEWIDOMYCH W SOBIESZEWIE,22,2261,2261011,933016,17691,POMORSKIE,Gdańsk,Gdańsk,ul. Przegalińska,29,,Gdańsk ul. Przegalińska 29 ,80-680,501090750,s.aleksandra@laski.edu.pl,,niepubliczna,Dzieci lub młodzież,ALEKSANDRA MACZUGA,14
90174,PRZEDSZKOLE DLA NIEWIDOMYCH W OŚRODKU SZKOLNO- WYCHOWAWCZYM DLA DZIECI NIEWIDOMYCH IM. RÓŻY CZACKIEJ W LASKACH,14,1432,1432022,8846,2276,MAZOWIECKIE,warszawski zachodni,Izabelin,ul. Brzozowa,75,,warszawski zachodni ul. Brzozowa 75 ,05-080,227523101,przedszkole@laski.edu.pl,http://www.laski.edu.pl/,niepubliczna,Dzieci lub młodzież,,12
26279,PRZEDSZKOLE DOBREGO PASTERZA,4,403,403062,93645,7354,KUJAWSKO-POMORSKIE,bydgoski,Osielsko,ul. Jastrzębia,27,,bydgoski ul. Jastrzębia 27 ,86-031,523813030,przedszkole_dp@onet.eu,www.pasterki.schoolpage.pl,niepubliczna,Dzieci lub młodzież,KATARZYNA MACIEJEWSKA,38
69929,PRZEDSZKOLE DOMEK RADOSNYCH BIEDRONEK,24,2402,2402102,1000338,8543,ŚLĄSKIE,bielski,Wilkowice,ul. Klimczoka,80,,bielski ul. Klimczoka 80 ,43-360,518256288,kasia22050@buziaczek.pl,www.domekradosnychbiedronek.pl,niepubliczna,Dzieci lub młodzież,KATARZYNA GUZIK,21
25725,"PRZEDSZKOLE DWUJĘZYCZNE ""ZAMKOWE SKRZATY"" Z ODDZIAŁAMI INTEGRACYJNYMI",14,1402,1402011,930414,13902,MAZOWIECKIE,ciechanowski,Ciechanów,ul. Nadrzeczna,24,,ciechanowski ul. Nadrzeczna 24 ,06-400,602690273,zamkoweskrzaty@wp.pl,www.zamkoweskrzaty.pl,niepubliczna,Dzieci lub młodzież,BARBARA DZIENKIEWICZ,35
3565,PRZEDSZKOLE DWUJĘZYCZNE LINGUALAND W ZIELONEJ GÓRZE,8,862,862011,988313,8265,LUBUSKIE,Zielona Góra,Zielona Góra,ul. Kazimierza Wielkiego,10,,Zielona Góra ul. Kazimierza Wielkiego 10 ,65-047,508087638,przedszkole@lingualand.edu.pl,www.lingualand.edu.pl,niepubliczna,Dzieci lub młodzież,MAGDALENA KARWICKA-STAŚKIEWICZ,116
26047,PRZEDSZKOLE DWUJĘZYCZNE MAŁY EUROPEJCZYK,6,609,609082,383550,,LUBELSKIE,lubelski,Konopnica,,107A,,lubelski  107A ,20-050,601721666,sekretariat@albion.edu.pl,www.malyeuropejczyk.edu.pl,niepubliczna,Dzieci lub młodzież,BEATA KOWALSKA,82
4556,PRZEDSZKOLE DWUJĘZYCZNE SMERFUŚ,4,415,415092,851130,11067,KUJAWSKO-POMORSKIE,toruński,Zławieś Wielka,ul. Liliowa,21,,toruński ul. Liliowa 21 ,87-134,695917097,magda.dudziak@interia.eu,,niepubliczna,Dzieci lub młodzież,MAGDA DUDZIAK,99
13131,PRZEDSZKOLE DZIECIĄTKA JEZUS PRZY PARAFII POD WEZWANIEM ŚW. URSZULI LEDÓCHOWSKIEJ,4,461,461011,928363,15186,KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,ul. Orna,6,,Bydgoszcz ul. Orna 6 ,85-356,523733839,parafiaul@wp.pl,www.przedszkoledzieciatkajezus.com,publiczna,Dzieci lub młodzież,EMILIA LANDOWSKA,99
28774,PRZEDSZKOLE DZIECIĘCY ŚWIAT MONTESSORI,4,403,403062,93562,2498,KUJAWSKO-POMORSKIE,bydgoski,Osielsko,ul. Bydgoska,40,,bydgoski ul. Bydgoska 40 ,86-032,501383501,sekretariat.montessori.niemcz@gmail.com,montessori.bydgoszcz.pl,niepubliczna,Dzieci lub młodzież,ADAM MORDKA,39
126723,PRZEDSZKOLE E-MALUCH,10,1061,1061039,957985,53869,ŁÓDZKIE,Łódź,Łódź-Górna,ul. Gen. Prądzyńskiego,6,,Łódź ul. Gen. Prądzyńskiego 6 ,93-478,577650810,emaluch1przedszkole@gmail.com,www.emaluch.eu,niepubliczna,Dzieci lub młodzież,RAFAŁ RAJ,32
276836,PRZEDSZKOLE E-MALUCH 5,10,1061,1061039,957985,53869,ŁÓDZKIE,Łódź,Łódź-Górna,ul. Gen. Prądzyńskiego,7,,Łódź ul. Gen. Prądzyńskiego 7 ,93-478,574755363,emaluch5przedszkole@gmail.com,www.emaluch.eu,niepubliczna,Dzieci lub młodzież,RAFAŁ RAJ,28
275973,PRZEDSZKOLE EDU KIDS NR 1 W BOGDANOWIE,30,3016,3016015,591314,24012,WIELKOPOLSKIE,obornicki,Oborniki,ul. Widokowa,9,,obornicki ul. Widokowa 9 ,64-600,691305085,edukids-bogdanowo@wp.pl,www.edukids-bogdanowo.pl,publiczna,Dzieci lub młodzież,NATALIA TYSOWSKA,118
64055,PRZEDSZKOLE EDUKACYJNE IM. JANA AMOSA KOMEŃSKIEGO W ZELOWIE,10,1001,1001084,968664,19834,ŁÓDZKIE,bełchatowski,Zelów,ul. Henryka Sienkiewicza,14,,bełchatowski ul. Henryka Sienkiewicza 14 ,97-425,446341053,przedszkole@zelandia.pl,www.przedszkole.zelandia.pl,niepubliczna,Dzieci lub młodzież,,94
83321,"PRZEDSZKOLE EDUKACYJNO-SPORTOWE ""MAŁY OLIMPIJCZYK""",14,1465,1465138,988833,21665,MAZOWIECKIE,Warszawa,Ursynów,ul. Symfonii,4,,Warszawa ul. Symfonii 4 ,02-787,221265510,przedszkole@malyolimpijczyk.pl,www.malyolimpijczyk.pl,niepubliczna,Dzieci lub młodzież,MAŁGORZATA OSIPIAK,39
53215,PRZEDSZKOLE EDUMONTESSORI,14,1462,1462011,968687,5948,MAZOWIECKIE,Płock,Płock,ul. Górna,30,,Płock ul. Górna 30 ,09-402,242687175,donata.sulikowska@montessoriplock.pl,www.montessoriplock.pl,niepubliczna,Dzieci lub młodzież,,116
269496,PRZEDSZKOLE EDUPLAY,14,1465,1465128,918784,54271,MAZOWIECKIE,Warszawa,Ursus,ul. Herbu Oksza,26,,Warszawa ul. Herbu Oksza 26 ,02-495,795055088,przedszkole@eduplay.edu.pl,www.eduplay.edu.pl,niepubliczna,Dzieci lub młodzież,KAROLINA KLUZA,174
272024,PRZEDSZKOLE EDUVENTURA,14,1465,1465178,988862,13666,MAZOWIECKIE,Warszawa,Włochy,ul. Na Skraju,32,,Warszawa ul. Na Skraju 32 ,02-197,665951030,kontakt@eduventura.pl,,niepubliczna,Dzieci lub młodzież,ANNA ROMANOWICZ,12
126193,PRZEDSZKOLE EKO-BRZDĄC,30,3013,3013045,376260,,WIELKOPOLSKIE,leszczyński,Rydzyna,,9,,leszczyński  9 ,64-130,888110300,ekobrzdac@wp.pl,,niepubliczna,Dzieci lub młodzież,MARIA KĘDZIORA,52
82467,"PRZEDSZKOLE EKOLOGICZNO-JĘZYKOWE ""POZIOMKA"" WE WŁYNKÓWKU",22,2212,2212082,751002,37345,POMORSKIE,słupski,Redzikowo,ul. Aleja nad Rzeką,9,,słupski ul. Aleja nad Rzeką 9 ,76-200,601220610,biuro@przedszkolepoziomka.pl,www.przedszkolepoziomka.pl,niepubliczna,Dzieci lub młodzież,MONIKA MEYER,110
132196,PRZEDSZKOLE ELFY,20,2061,2061011,922410,48498,PODLASKIE,Białystok,Białystok,ul. Al. 1000-lecia Państwa Polskiego,50,1u,Białystok ul. Al. 1000-lecia Państwa Polskiego 50 1u,15-111,535035858,monikakulesza1@gmail.com,http://elfybialystok.pl/,niepubliczna,Dzieci lub młodzież,MONIKA KULESZA,25
272559,PRZEDSZKOLE FABRYKA FANTAZJI NR 198 W POZNANIU,30,3064,3064029,969416,8640,WIELKOPOLSKIE,Poznań,Poznań-Grunwald,ul. Kłuszyńska,19,,Poznań ul. Kłuszyńska 19 ,60-136,616621016,figlewskamagdalena@gmail.com,,publiczna,Dzieci lub młodzież,MAGDALENA FIGLEWSKA,130
115016,PRZEDSZKOLE FAHRENHEITA,22,2261,2261011,933016,40250,POMORSKIE,Gdańsk,Gdańsk,ul. Królewskie Wzgórze,1,u1,Gdańsk ul. Królewskie Wzgórze 1 u1,80-283,788664615,biuro@przedszkolefahrenheita.pl,,niepubliczna,Dzieci lub młodzież,Alicja Grzesiak,30
274047,PRZEDSZKOLE FAMILIJNA ŁÓDKA,10,1061,1061069,958453,2518,ŁÓDZKIE,Łódź,Łódź-Widzew,ul. Byszewska,4,,Łódź ul. Byszewska 4 ,92-770,502066128,j.poselt-socha@operator.edu.pl,www.familijnalodka-lodz.operator.edu.pl,publiczna,Dzieci lub młodzież,JOANNA POSELT-SOCHA,101
125057,PRZEDSZKOLE FAMILIJNE W BIAŁYMSTOKU,20,2061,2061011,922410,160,PODLASKIE,Białystok,Białystok,ul. Akademicka,2,,Białystok ul. Akademicka 2 ,15-267,570555445,kontakt@ster.bialystok.pl,ster.bialystok.pl,niepubliczna,Dzieci lub młodzież,,61
479112,PRZEDSZKOLE FIRST STEPS,14,1465,1465168,988856,24147,MAZOWIECKIE,Warszawa,Wilanów,ul. Wiertnicza,59,,Warszawa ul. Wiertnicza 59 ,02-952,888875630,biuro@first-steps.pl,,niepubliczna,Dzieci lub młodzież,KATARZYNA JASZCZUK,36
276475,PRZEDSZKOLE FORREST,14,1418,1418045,6540,16164,MAZOWIECKIE,piaseczyński,Piaseczno,ul. Piesza,22,,piaseczyński ul. Piesza 22 ,05-503,692623327,przedszkole.forrest@gmail.com,,niepubliczna,Dzieci lub młodzież,MAGDALENA MALINOWSKA,32
268864,PRZEDSZKOLE FOX IN THE BOX,14,1465,1465198,920048,47206,MAZOWIECKIE,Warszawa,Żoliborz,ul. Kaliny Jędrusik,5,U5,Warszawa ul. Kaliny Jędrusik 5 U5,01-748,604984467,agnieszka.d.jedynak@wioski.co,,niepubliczna,Dzieci lub młodzież,MAGDALENA NOWAK,7
5636,PRZEDSZKOLE FRANCUSKIE,22,2262,2262011,934100,6470,POMORSKIE,Gdynia,Gdynia,ul. Halicka,8,,Gdynia ul. Halicka 8 ,81-506,606985059,grazynka@ecolematernelle.pl,,niepubliczna,Dzieci lub młodzież,ALAIN MOMPERT,50
18580,"PRZEDSZKOLE FUNDACJI ""CLEVER""",2,265,265011,983681,10423,DOLNOŚLĄSKIE,Wałbrzych,Wałbrzych,ul. Kuracyjna,5,,Wałbrzych ul. Kuracyjna 5 ,58-302,748425826,sekretariat@zsmk.pl,,niepubliczna,Dzieci lub młodzież,EWA PIĄTEK,24
29501,PRZEDSZKOLE FUNDACJI JIM,10,1061,1061039,957985,22717,ŁÓDZKIE,Łódź,Łódź-Górna,ul. Tatrzańska,105,,Łódź ul. Tatrzańska 105 ,93-279,426434670,sekretariat@jim.org,,niepubliczna,Dzieci lub młodzież,ANNA SAFJANOWSKA,32
482800,PRZEDSZKOLE GALILEO NR 200 W POZNANIU,30,3064,3064039,969586,7157,WIELKOPOLSKIE,Poznań,Poznań-Jeżyce,ul. Klemensa Janickiego,22,,Poznań ul. Klemensa Janickiego 22 ,60-542,618436304,biuro@operator.edu.pl,,publiczna,Dzieci lub młodzież,BOGUMIŁA ROSZYK,98
41066,PRZEDSZKOLE GEDANENSIS,22,2261,2261011,933016,4446,POMORSKIE,Gdańsk,Gdańsk,ul. Dworska,34,,Gdańsk ul. Dworska 34 ,80-506,583205674,szkola@gedanensis.edu.pl,www.przedszkolegedanensis.pl,niepubliczna,Dzieci lub młodzież,JOACHIM SZYC,42
47256,PRZEDSZKOLE GMINNE,32,3211,3211022,777786,,ZACHODNIOPOMORSKIE,policki,Kołbaskowo,,57,,policki  57 ,72-001,913119505,zpokolbaskowo@wp.pl,,publiczna,Dzieci lub młodzież,,69
48533,PRZEDSZKOLE GMINNE,32,3209,3209074,950240,20286,ZACHODNIOPOMORSKIE,koszaliński,Sianów,ul. Słowackiego,3,,koszaliński ul. Słowackiego 3 ,76-004,943185294,przedszkole.sianow@wp.pl,ekoskrzat.sianow.edupage.org,publiczna,Dzieci lub młodzież,Renata Bąk,172
125956,PRZEDSZKOLE GMINNE,4,402,402054,983244,2849,KUJAWSKO-POMORSKIE,brodnicki,Górzno,ul. Fryderyka Chopina,1,b,brodnicki ul. Fryderyka Chopina 1 b,87-320,564989266,,,publiczna,Dzieci lub młodzież,,108
109544,PRZEDSZKOLE GMINNE,4,406,406062,849333,,KUJAWSKO-POMORSKIE,grudziądzki,Świecie nad Osą,,113,,grudziądzki  113 ,86-341,564661633,szkolaswiecie@swiecienadosa.pl,zsip1.edupage.org,publiczna,Dzieci lub młodzież,,37
109638,"PRZEDSZKOLE GMINNE ,,NA ŚRODKU ŚWIATA'' W NOWINACH WIELKICH",8,801,801075,188363,24048,LUBUSKIE,gorzowski,Witnica,ul. Wiejska,15,,gorzowski ul. Wiejska 15 ,66-460,957511926,spsekretarka@op.pl,spnowinywielkie.edupage.org,publiczna,Dzieci lub młodzież,,53
52362,"PRZEDSZKOLE GMINNE ""BAJKA"" W JEZIERZYCACH",22,2212,2212082,750681,15710,POMORSKIE,słupski,Redzikowo,ul. Parkowa,4,,słupski ul. Parkowa 4 ,76-200,598112551,przedszkolejez@gminaredzikowo.pl,http://przedszkole-jezierzyce.szkolnastrona.pl/,publiczna,Dzieci lub młodzież,Monika Szymczak,189
70790,"PRZEDSZKOLE GMINNE ""GROMADKA MISIA USZATKA"" W RZGOWIE",30,3010,3010082,294119,9163,WIELKOPOLSKIE,koniński,Rzgów,ul. Konińska,6,,koniński ul. Konińska 6 ,62-586,632493106,sprzgow@interia.pl,,publiczna,Dzieci lub młodzież,,83
5525,"PRZEDSZKOLE GMINNE ""KRAINA MARZEŃ""",2,203,203032,364297,14572,DOLNOŚLĄSKIE,głogowski,Jerzmanowa,ul. Obiszowska,25,,głogowski ul. Obiszowska 25 ,67-222,724846572,dyrektor@pg.jerzmanowa.edu.pl,www.przedszkolejerzmanowa.szkolnastrona.pl,publiczna,Dzieci lub młodzież,MARIOLA DUBOWSKA,123
13657,"PRZEDSZKOLE GMINNE ""KRASNOLUDEK""",4,404,404072,849876,11139,KUJAWSKO-POMORSKIE,chełmiński,Unisław,ul. Lipowa,31,,chełmiński ul. Lipowa 31 ,86-260,566866032323,krasnoludek@unislaw.pl,,publiczna,Dzieci lub młodzież,ALINA SYROCKA,68
93075,"PRZEDSZKOLE GMINNE ""KUJAWSKI ZAKĄTEK"" W SKIBINIE",4,411,411062,868164,,KUJAWSKO-POMORSKIE,radziejowski,Radziejów,,53,,radziejowski  53 ,88-200,695833305,przedszkole@ugradziejow.pl,,publiczna,Dzieci lub młodzież,SYLWIA ŁĄKOWSKA,91
31780,"PRZEDSZKOLE GMINNE ""NIEZAPOMINAJKA"" W WIĘCBORKU",4,413,413044,929820,5431,KUJAWSKO-POMORSKIE,sępoleński,Więcbork,ul. Gdańska,13,,sępoleński ul. Gdańska 13 ,89-410,662254587,sekretariat@przedszkole-wiecbork.pl,przedszkole-wiecbork.pl,publiczna,Dzieci lub młodzież,KRYSTYNA TUSZNIO,148
274672,"PRZEDSZKOLE GMINNE ""OCEAN MARZEŃ"" W JACZOWIE",2,203,203032,364280,29468,DOLNOŚLĄSKIE,głogowski,Jerzmanowa,ul. Smardzowska,1,,głogowski ul. Smardzowska 1 ,67-210,768312931,dyrektor@przedszkole.jaczow.pl,,publiczna,Dzieci lub młodzież,AGNIESZKA DOMINICZAK,123
71668,"PRZEDSZKOLE GMINNE ""PSZCZÓŁKA MAJA"" W PSZCZÓŁKACH",22,2204,2204062,170222,21970,POMORSKIE,gdański,Pszczółki,ul. Szkolna,6,,gdański ul. Szkolna 6 ,83-032,586829146,przedszkolepszczolka@interia.pl,,publiczna,Dzieci lub młodzież,JOLANTA SŁUPECKA,211
58779,PRZEDSZKOLE GMINNE IM JANA PAWŁA II W IWONICZU-ZDROJU,18,1807,1807034,953007,20252,PODKARPACKIE,krośnieński,Iwonicz-Zdrój,al. Słoneczna,30,,krośnieński al. Słoneczna 30 ,38-440,134350241,przedszkole.iz@interia.pl,przedszkole-jp2.pl,publiczna,Dzieci lub młodzież,Krystyna Włodarczyk,48
52926,PRZEDSZKOLE GMINNE IM. KRASNALA HAŁABAŁY W GRODZISKU WIELKOPOLSKIM,30,3005,3005024,970810,2844,WIELKOPOLSKIE,grodziski,Grodzisk Wielkopolski,ul. Chopina,24,,grodziski ul. Chopina 24 ,62-065,612271230,przedszkolegminne@edugrodzisk.pl,http://www.przedszkole-grodzisk.pl/,publiczna,Dzieci lub młodzież,ALICJA ANDRYS,341
109028,PRZEDSZKOLE GMINNE IM. RADOSNYCH MALUSZKÓW W ZESPOLE SZKOLNO-PRZEDSZKOLNYM W JAKTOROWIE,14,1405,1405052,728523,23682,MAZOWIECKIE,grodziski,Jaktorów,ul. Warszawska,88,,grodziski ul. Warszawska 88 ,96-313,468552416,zsp@zspjaktorow.pl,zspjaktorow.pl/przedszkole/,publiczna,Dzieci lub młodzież,,269
